idx,ixoneId,BrandName,Allergens,FreeOf,GlutenFreeYN,NonGMOYN,PaleoYN,SugarSweetener,PrimarySize,PrimarySizeText,PrimarySizeUOM,ProductDescription,SecondarySize,SecondarySizeUOM,IngredientBreakout,IngredientsStatement,ConsumerStorage,Website,UPC12,DistributedBy,HasPanel,HasSupplementPanel,HasNutritionPanel,KetoYN,generalFactPanels,PlantBasedDerivedClaim,Contains,OrganicYN,Process,VeganYN,TertiarySize,TertiarySizeUOM,UsageInstructions,CountryOfOriginName,CountryOfOriginText,ManufacturerCityPackaging,ManufacturerNamePackaging,ManufacturerStatePackaging,ManufacturerZipCodePackaging,UnitCount,CrueltyFreeYN,SocialMedia,SocialMediaAddresses,CertifiedBCorporation,UseOrFreezeBy,QRCode,ManufacturerPhoneNumberPackaging,ManufacturerStreetPackaging,KosherYN,CookingInstructions,ProcessedOnEquipment,ProcessedManufacturedInFacilityStatement,SupplementIngredientStatement,DoesNotContain,WholeGrainYN,AllergensAncillary,InstructionsAncillary,BeeBetterClaim,InFacilityOnEquipmentIncluding,InFacilityOnEquipmentStatement,LiveAndActiveCulture,Grade,FairTradeYN,MarketingClaims,HeartHealthyYN
0,SNL712536,100,100,100,100.00,100.00,100.00,100.00,100,100.00,100,64.36,100,100,100.00,100.00,100,100,100,100.00,100,100,100,100.00,98.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SNL652702,100,,,,,,,100,100.00,100,43.67,100,100,100.00,100,100,100,0,,100,100,100,,95.97,100.00,100.00,100.00,100.00,100.00,100,100,100.00,100.00,100.00,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,SNL86649,100,100,100,100.00,100.00,100.00,100.00,100,100.00,100,32.47,100,100,100.00,94.36,100,100,0,100.00,100,100,100,100.00,97.50,,,,100.00,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,
3,SNL182595,100,100,100,100.00,100.00,,100.00,100,100.00,100,28.10,100,100,94.45,94.45,100,100,0,100.00,100,100,100,100.00,97.56,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SNL236967,51.10,,,,,,,100,46.39,100,24.94,100,100,100.00,71.74,,81.30,100,89.19,0.00,100,100,,,,,,,,,,NaN,,,,,,,100,,100,100,,,,,,,,,,,,,,,,,,,,,,
5,SNL748460,100,,,100.00,100.00,,,0,51.10,100,26.12,,,,,,100,100,,100,100,100,,94.75,,,,,100.00,,,71.74,,,100,51.10,100,100,100,,,,100.00,100.00,0.00,100,100,,,,,,,,,,,,,,,,,
6,SNL733135,100,,,,100.00,,,100,100.00,100,76.53,100,100,100.00,100,,100,0,,100,100,100,,99.80,,,100.00,100.00,100.00,,,,,,100,100,100,100,,,100.00,,,,,,100,100.00,64.44,,,,,,,,,,,,,,,
7,SNL254983,100,,100,100.00,100.00,100.00,100.00,100,100,100,13.13,100,100,100.00,100,100.00,100,100,100.00,100,100,100,100.00,99.16,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
8,SNL714925-I1,100,100.00,,100.00,100.00,,,100,80.53,100,10.54,100,100,100.00,100.00,,41.61,100,,100,100,100,100.00,99.81,,100.00,,,,,,,,,100,71.74,100,100,100,,51.10,51.10,,,0.00,,,100.00,,100,100.00,,,,,,,,,,,,,
9,SNL714093,100,,100,100.00,,,64.36,100,100.00,100,36.42,100,100,,,,100,100,,100,100,100,,100,,,,,100.00,,,87.78,,,100,64.36,100,100,,,,100,,,,,,,,,,38.25,,,,,,,,,,,,
10,SNL210518,100,,,,100.00,,,100,100.00,100,30.08,0,0.00,92.06,92.06,,100,100,,100,100,100,,100,,,100.00,,100.00,,,,,,100,71.74,100,100,,,26.12,51.10,,,100,,,,,,,,,,,,,,,,,,,
11,SNL158815,100,100,,100.00,100.00,,,100,51.47,100,51.10,100,100,100.00,100.00,,100,100,71.74,100,100,100,,100,,,100.00,,100.00,,,,,,,,,,,,NaN,,,,,,,,,,,,96.90,100.00,,,,,,,,,,
12,SNL745868,0.00,100.00,,100.00,100.00,,NaN,100,51.47,100,19.07,100,100,100.00,96.19,,,100,61.82,100,100,100,,100,,0.00,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,100.00,,100.00,NaN,100.00,100,100.00,,,,,
13,SNL745863,0.00,100.00,,100.00,100.00,,NaN,100,100,100,19.07,100,100,100.00,100,,,100,61.82,100,100,100,,100,,58.86,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,82.44,,100,0.00,,100,100.00,,,,,
14,SNL742451,100,,,,,,,100,100,100,51.10,100,100,100.00,100.00,,,100,57.54,100,100,100,,,,,,100.00,,,,82.44,100,100,,,,,,100.00,,,100.00,,,,,,,,,,100.00,,,,,,,,,,,
15,SNL250618,100,100.00,100.00,,,,,100,100,100,71.74,,,,,,75.81,0,85.95,100,100,100,,100,,100.00,,,,,,89.19,100,100,,,,,100,,,,,,,,,,,,,14.38,NaN,,100.00,0.00,,,,,,,,
16,SNL245009,100,100,100.00,100.00,,,,100,100,100,100,,,,,,100,0,,100,100,100,,100,,,,,100.00,,,85.95,100,100,100,100,100,100,100,,,,,,,,,,,,,22.77,,,0.00,NaN,,,,,,,,
17,SNL163949,100,,100.00,100.00,100.00,,,100,100,100,30.29,,,,,,100.00,0,,100,100,100,,100,100.00,38.75,,,,,,43.92,100,100,100,100,100,100,100,,,,,,,,,,,,,13.42,NaN,,,NaN,,,,100.00,,,,
