idx,ixoneId,BrandName,GlutenFreeYN,KosherYN,PrimarySize,PrimarySizeText,PrimarySizeUOM,ProductDescription,SecondarySize,SecondarySizeUOM,IngredientBreakout,IngredientsStatement,UsageInstructions,Website,UPC12,CountryOfOriginName,CountryOfOriginText,ManufacturerCityPackaging,ManufacturerPhoneNumberPackaging,ManufacturerStatePackaging,ManufacturerZipCodePackaging,HasPanel,HasSupplementPanel,HasNutritionPanel,generalFactPanels,ProcessedOnEquipment,DoesNotContain,NonGMOYN,OrganicYN,VeganYN,WholeGrainYN,UnitCount,CookingInstructions,QRCode,SocialMedia,ManufacturerNamePackaging,ProcessedManufacturedInFacilityStatement,FreeOf,Contains,SugarSweetener,CertifiedBCorporation,ConsumerStorage,ManufacturerStreetPackaging,Allergens,DistributedBy,SocialMediaAddresses,BeeBetterClaim,InFacilityOnEquipmentIncluding,InFacilityOnEquipmentStatement,LiveAndActiveCulture,UseOrFreezeBy,TertiarySize,TertiarySizeUOM,Process,HalalYN,Grade,CrueltyFreeYN,FairTradeYN,PaleoYN,KetoYN,PlantBasedDerivedClaim,BioengineeredYN,HeartHealthyYN,InstructionsAncillary
0,SNL744774,100,100.00,100.00,100,100.00,100,58.86,100,100,100.00,100.00,23.36,100,100,100.00,100.00,100,100,100,100,100,100,100,91.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SNL733383,64.36,,100.00,100,100.00,100,24.54,100,100,53.34,52.19,NaN,100,100,100.00,100.00,100,,100,100,100,100,100,94.84,0,100.00,100.00,100.00,100.00,100.00,100,52.10,100,51.10,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SNL733978,100,100.00,100.00,100,100,100,79.92,100,100,92.90,92.90,,85.95,0,,,100,,100,100,100,100,100,92.62,,100.00,100.00,,,,,,,,100,,100.00,100.00,0.00,100.00,100,100,,,,,,,,,,,,,,,,,,,,,
3,SNL733979,100,100.00,,100,100.00,100,79.92,100,100,99.63,99.63,,85.95,0,,,100,,100,100,100,100,100,92.38,,100.00,100.00,,,,,,,,100,,100.00,100.00,0.00,100.00,100,100,,,,,,,,,,,,,,,,,,,,,
4,SNL733980,100,100.00,,100,100,100,79.92,100,100,100.00,100.00,,85.95,0,,,100,,100,100,100,100,100,92.29,,100.00,100.00,,,,,,,,100,,100.00,100.00,0.00,100.00,100,100,,,,,,,,,,,,,,,,,,,,,
5,SNL323487,100,,,100,100.00,100,14.56,100,100,100.00,100.00,,100,100,51.10,100.00,,,,,100,100,100,94.38,,100.00,,,,,,,,,,,,,95.62,,,,100,100.00,,,,,,,,,,,,,,,,,,,
6,SNL529050,0.00,100.00,100.00,100,100.00,100,71.74,100,100,100.00,100.00,,,100,,,100,,,,100,100,100,94.53,,100.00,,,,,,,,,,,,100.00,NaN,,96.23,,100.00,89.19,100,100.00,100,100.00,,,,,,,,,,,,,,,
7,SNL687747,100,100.00,,100,100.00,100,58.86,100,100,96.77,96.77,,100,100,,,,,,,100,100,100,94.05,,98.20,,,,,,,100,,,,,,NaN,,100,,100,,,,,,,,,,,,,,,,,,,,
8,SNL687748,100,100.00,,100,100.00,100,76.53,100,100,95.30,95.30,,100,0,,,,,,,100,100,100,94.93,,98.20,,,,,,,100,,,,,,100.00,,100,,100,,,,,,,,,,,,,,,,,,,,
9,SNL744929,100.00,,,100,100,100,100,100,100,100.00,100,,,100,,,100,,100,100,100,100,100,93.98,,,,100.00,,,,,100,,64.36,,,100.00,,100.00,100,,100,,,,,,,,,,,,,,,,,,,,
