idx,ixoneId,NutritionPanel,BrandName,Allergens,AllergensAncillary,FreeOf,GlutenFreeYN,NonGMOYN,PaleoYN,SugarSweetener,PrimarySize,PrimarySizeText,PrimarySizeUOM,ProductDescription,SecondarySize,SecondarySizeUOM,IngredientBreakout,IngredientsStatement,InstructionsAncillary,Website,UPC12,DistributedBy,HasPanel,HasSupplementPanel,HasNutritionPanel,KetoYN,generalFactPanels,SupplementPanel,PlantBasedDerivedClaim,Contains,KosherYN,OrganicYN,Process,VeganYN,SupplementIngredientStatement,UsageInstructions,CountryOfOriginName,CountryOfOriginText,ManufacturerCityPackaging,ManufacturerNamePackaging,ManufacturerStatePackaging,ManufacturerZipCodePackaging,CrueltyFreeYN,UnitCount,SocialMedia,SocialMediaAddresses,CertifiedBCorporation,UseOrFreezeBy,QRCode,ManufacturerPhoneNumberPackaging,ManufacturerStreetPackaging,CookingInstructions,ProcessedOnEquipment,ProcessedManufacturedInFacilityStatement,DoesNotContain,WholeGrainYN,BeeBetterClaim,InFacilityOnEquipmentIncluding,InFacilityOnEquipmentStatement,LiveAndActiveCulture,Grade,FairTradeYN,ConsumerStorage,MarketingClaims,HeartHealthyYN
0,SNL712536,NA,100,100,64.36,64.36,100.00,100.00,100.00,100.00,100,100.00,100,64.36,100,100,100.00,99.39,NaN,100,100,100.00,100,100,100,100.00,100,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SNL652702,NA,100,,,,,,,,100,100,100,43.67,100,0.00,100,0,0.00,43.67,0,,100,100,100,,100,NA,100.00,100.00,100.00,100.00,38.75,100.00,0.00,100.00,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,
2,SNL86649,NA,100,100,58.86,100,100.00,100.00,100.00,57.56,100,100,100,32.47,100,100,100.00,100,NaN,64.36,0,100.00,100,100,100,100.00,100,NA,,,,,100.00,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,
3,SNL182595,NA,100,100,84.42,100,100.00,100.00,,100.00,100,0,100,58.57,100,100,94.45,94.45,NaN,100,0,100.00,100,100,100,100.00,100,NA,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SNL236967,NA,100,,,,,,,,100,68.05,100,24.94,100,100,100,100.00,NaN,93.49,0,89.19,0.00,100,100,,,NA,,,,,,,,89.48,,,,,,,,100,0.00,NaN,,,,,,,,,,,,,,,,,,,
5,SNL748460,NA,100,,,,100.00,100.00,,,100,51.10,100,26.12,,,,,0.00,37.53,100,,100,100,100,,100,NA,,,,,,100.00,25.43,71.74,,,100,51.10,100,100,,0,,,100.00,64.36,100,100,100,,,,,,,,,,,,,,
6,SNL733135,NA,100,,,,,100.00,,,100,100.00,100,76.53,100,100,100,100,41.70,100,0,,100,100,100,,100,NA,,,100.00,100.00,100.00,100.00,,,,,100,100,100,100,,,100.00,,,,,,100,84.68,,,,,,,,,,,,,
7,SNL254983,NA,100,,NaN,64.36,100.00,100.00,100.00,100.00,100,0,100,13.13,100,100,100.00,100,NaN,32.89,100,100.00,100,100,100,100.00,100,NA,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
8,SNL714925-I1,NA,100,100.00,,,100.00,100.00,,,100,80.53,100,36.66,100,100,100.00,100.00,NaN,53.78,100,,100,100,100,100.00,100,NA,,100.00,100.00,,,,,,,,100,71.74,100,100,,100,51.10,51.10,,,0.00,,,,100,100.00,,,,,,,,,,,
9,SNL714093,NA,100,,,100,100.00,,,64.36,100,100.00,100,36.42,100,100,,,,100,100,,100,100,100,,100,NA,,,,,,100.00,38.25,87.78,,,100,64.36,100,100,,,,100,,,,,,,,,,,,,,,,,,,
